catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
ARCE00013,ARCE,,Narrative Traditions of Karnataka,Various Artists,India,"Asadi; Harijan; Jangama; Jogi","India; World",,"Kannada; Telegu","Burra Katha; Chaudike pada; Jogi Katha; Kamsale pada; Tatva pada",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,India,93.6601817674569,27.6988554973715
COLL01929,Collector Records,1977,Songs for Woodworkers,Joe Glazer,"Canada; United States",,American Folk,,English,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Canada,-86.6700785181153,52.8742806892102
COLL01918,Collector Records,1982,Joe Glazer Sings Labor Songs,Joe Glazer,United States,,American Folk,,English,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,United States,-151.984892937441,63.4335296794621
COOK00904,Cook Records,1958,Bermuda Honeymoon,Esso Steel Band of Bermuda,Bermuda,African Caribbean,"Caribbean; World","Drum, steel; Steel drum (Musical instrument)",,Steel bands (Music),http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Bermuda,-64.7250930983577,32.3247239526918
COOK00101,Cook Records,1957,Grenada Stories and Songs,Various Artists,Grenada,Maroon,"Caribbean; Spoken Word; World",,,Storytelling,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Grenada,-61.7201366963903,12.118863938658
COOK00103,Cook Records,1953,Music of St. Lucia,Various Artists,Saint Lucia,,"Caribbean; World",,,"Work songs; World music",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,St. Lucia,-60.909518116937,13.9687734517749
COLL01951,Collector Records,1991,We are the Working Class,Eddie Starr,United States,,American Folk,Guitar,English,"Labor unions--Songs and music.; Rock music; Working class--Songs and music",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,United States,-153.794221943594,58.8090572004204
COLL01953,Collector Records,,We Just Come to Work Here,Various Artists,United States,"African American; Anglo-American",American Folk,Guitar,"English; Spanish","Bluegrass music; Folk songs--United States; Folksong revival; Labor unions--Songs and music.; Mining--Songs and music; Railroads--Songs and music; Working class--Songs and music",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,United States,-96.9300913827099,38.8460533217344
COLL01990,Collector Records,,"My Darling Party Line: Irreverent Songs, Ballads and Airs",Joe Glazer,United States,,"American Folk; American History",,English,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,United States,-107.234461552404,37.1646669096747
COOK01022,Cook Records,1958,Haiti Confidential,Various Artists,Haiti,African Caribbean,"Caribbean; World","Drum; Flute; Guitar; Maraca; Trumpet",,"Chants; Incantations; World music",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Haiti,-72.6082320315917,19.8773625290124
COOK01043,Cook Records,1955,Three Rituals,Various Artists,"Cuba; Israel; Trinidad and Tobago",African Caribbean,"Islamica; Sacred",Drum,"Arabic; Spanish",,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Cuba,-75.3215703696261,20.725201527359
COOK01044,Cook Records,1956,The Complete In Fidelytie,Various Artists,"Mexico; United States",,Sounds,Organ (Musical instrument),,Sound effects,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Mexico,-88.4274050280326,19.8716620363639
COOK01056,Cook Records,1954,The Morelia Cathedral Organ,Alfonso Vega Núñez,Mexico,,Classical,"Organ; Organ (Musical instrument)",,Music,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Mexico,-88.8972506713504,19.7064749379219
COOK01040,Cook Records,1955,Steel Band Clash,Various Artists,Antigua and Barbuda,,"Caribbean; World","Drum, steel; Steel drum (Musical instrument)",,"Merengue (Dance); Samba (Dance); Steel bands (Music)",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Antigua & Barbuda,-61.8181436005069,17.623720032871
COOK01073,Cook Records,1961,Semana Santa (Malaga),Various Artists,Spain,,"Holiday; Sacred; World",Organ (Musical instrument),,"Ceremonial; Flamenco music; Music",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Spain,-2.31435897119645,39.8980463089088
COOK01083,Cook Records,1955,Jawbone of an Ass,Various Artists,Cuba,,"Caribbean; Latin; World",Jawbone (Musical instrument),,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Cuba,-80.2080393988596,22.6249549334646
COOK01097,Cook Records,1961,Folk Songs of Old Russia-A Program of Russian-Ukrainian Songs,St. John's Russian Orthodox Choir,"Ukraine; United States; USSR (former)",,"Classical; Sacred; World",Vocals,,Religious,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Ukraine,29.0817309642984,50.156404522581
COOK01101,Cook Records,1964,Steel Band in San Juan,The Invaders,"Puerto Rico; Virgin Islands of the United States",,"Caribbean; World","Drum, steel",,"Merengue (Dance); Steel bands (Music)",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Puerto Rico,-67.238581394175,18.3800448292866
COOK01120,Cook Records,1958,Ecuador,Benitez-Valencia Trio,Ecuador,,"Latin; World",,Spanish,,http://www.folkways.si.edu/benitez-valencia-trio/ecuador/latin-world/music/album/smithsonian,Ecuador,-78.8946197799269,-2.00422181385725
COOK01132,Cook Records,1955,The Japanese Koto,Shinichi Yuize,Japan,,World,Koto,,,http://www.folkways.si.edu/shinichi-yuize/the-japanese-koto/world/music/album/smithsonian,Japan,141.203466087168,38.8812578848641
COOK01186,Cook Records,1958,Meringue!,Ensemble Aux Calebasses,Haiti,African Caribbean,"Caribbean; World",,French,Merengue (Dance),http://www.folkways.si.edu/ensemble-aux-calebasses/meringue/caribbean-world/music/album/smithsonian,Haiti,-72.4295651254052,18.9247670795029
COOK01187,Cook Records,1959,A Night at the Tropicoro,Lito Peña,Puerto Rico,Puerto Rican,"Caribbean; Latin; World",,Spanish,,http://www.folkways.si.edu/lito-pena/a-night-at-the-tropicoro/caribbean-latin-world/music/album/smithsonian,Puerto Rico,-65.503844295665,18.1169745029491
COOK01270,Cook Records,1950,Rail Dynamics,Various Artists,United States,,Sounds,,,Sound effects,http://www.folkways.si.edu/rail-dynamics/sounds/album/smithsonian,United States,-152.726787058488,65.339664376254
COOK05004,Cook Records,1948,Tiroro – The Haitian Drummer,Tiroro,Haiti,African Caribbean,"Caribbean; World",Drum,,,http://www.folkways.si.edu/tiroro/the-haitian-drummer/caribbean-world/music/album/smithsonian,Haiti,-72.2035231586721,19.0887989809489
COOK05009,Cook Records,1954,"American Storytellers, Vol. 3",Charles A. Chace and Matthew Richards,"Canada; United States",Anglo-American,"Miscellany; Prose",,,Storytelling,http://www.folkways.si.edu/charles-a-chace-and-matthew-richards/american-storytellers-vol-3/miscellany-prose/album/smithsonian,Canada,-68.5892421956156,58.3754617485214
COOK05007,Cook Records,1954,Marimba Band,Various Artists,Mexico,,"Latin; World",Marimba,,Marimba,http://www.folkways.si.edu/marimba-band/latin-world/music/album/smithsonian,Mexico,-99.1884343864284,25.4070969672457
COOK10289,Cook Records,,Montoya,Carlos Montoya,Spain,,World,Guitar,,Flamenco music,http://www.folkways.si.edu/carlos-montoya/world/music/album/smithsonian,Spain,-2.36258366369037,37.8562470998365
SFW40538,Smithsonian Folkways Recordings,2006,"Alberta: Wild Roses, Northern Lights",Various Artists,Canada,Canadian,World,,,,http://www.folkways.si.edu/alberta-wild-roses-northern-lights/world/music/album/smithsonian,Canada,-104.030161250078,60.2113147361243
COOK10301,Cook Records,,The Harp,Edward and Joseph Vito,United States,,Classical,Harp,,Music,http://www.folkways.si.edu/edward-and-joseph-vito/the-harp/classical/music/album/smithsonian,United States,-155.57870116383,64.5192866355923
DB09000,Dyer-Bennet Records,1960,"Richard Dyer-Bennet, Vol. 9",Richard Dyer-Bennet,United States,Anglo-American,"American Folk; Celtic",,,,http://www.folkways.si.edu/richard-dyer-bennet/vol-9/american-folk-celtic/music/album/smithsonian,United States,-90.5366420208049,32.8575196382387
DB10000,Dyer-Bennet Records,1962,"Richard Dyer-Bennet, Vol. 10",Richard Dyer-Bennet,United States,Anglo-American,"American Folk; Celtic",Guitar,,Folksong revival,http://www.folkways.si.edu/richard-dyer-bennet/vol-10/american-folk-celtic/music/album/smithsonian,United States,-162.270499656693,62.1547394700727
FW02021,Folkways Records,1951,Seeds of Love,Andrew Rowan Summers,"France; Scotland; United Kingdom; United States",Anglo-American,American Folk,"Appalachian dulcimer; Dulcimer; Vocals",,"Ballads; Folksong revival; Music--British Isles",http://www.folkways.si.edu/andrew-rowan-summers/seeds-of-love/american-folk/music/album/smithsonian,France,2.48096107744045,42.4460028119069
